Project,Snapshot,bus_factor_norm,gini_repo_load,bipartite_density,knowledge_redundancy,fc_attack_adaptive
1inch,0,0.024390243902439025,0.5960758807588076,0.03843090402230187,0.13239156032118468,0.1073170731707317
1inch,1,0.023809523809523808,0.5944862155388471,0.037641636258882276,0.13236395369989665,0.10526315789473684
1inch,2,0.024193548387096774,0.5964328383683223,0.03814634146341463,0.1332722133301425,0.10628019323671498
1inch,3,0.024,0.6020051679586563,0.03779289493575208,0.12503562548164712,0.10476190476190476
1inch,4,0.023255813953488372,0.6058081684600255,0.0367816091954023,0.12673952012718412,0.10138248847926268
1inch,5,0.022900763358778626,0.6077666672827754,0.03718216649251132,0.12559433479124882,0.1004566210045662
1inch,6,0.022900763358778626,0.6130804518503744,0.03744834710743802,0.12636477834099658,0.1
1inch,7,0.022388059701492536,0.6093831541592736,0.03728956228956229,0.12541362853176247,0.10762331838565023
1inch,8,0.022058823529411766,0.6112945178071229,0.03731649306979414,0.12679471260769704,0.10619469026548672
Abracadabra,0,0.12,0.3421276595744681,0.11538461538461539,0.0829410254777902,0.14285714285714285
Abracadabra,1,0.11538461538461539,0.38461538461538464,0.10331384015594541,0.1105308302808303,0.13043478260869565
Abracadabra,2,0.11538461538461539,0.38461538461538464,0.10331384015594541,0.1105308302808303,0.13043478260869565
Abracadabra,3,0.11538461538461539,0.38461538461538464,0.10331384015594541,0.1105308302808303,0.13043478260869565
Abracadabra,4,0.11538461538461539,0.38461538461538464,0.10331384015594541,0.1105308302808303,0.13043478260869565
Abracadabra,5,0.1111111111111111,0.38155136268343814,0.10150375939849623,0.11006203007518799,0.1276595744680851
Abracadabra,6,0.1111111111111111,0.38155136268343814,0.10150375939849623,0.11006203007518799,0.1276595744680851
Abracadabra,7,0.1111111111111111,0.38155136268343814,0.10150375939849623,0.11006203007518799,0.1276595744680851
Abracadabra,8,0.1111111111111111,0.38155136268343814,0.10150375939849623,0.11006203007518799,0.1276595744680851
Acala,0,0.008894536213468869,0.5320236983512193,0.006501230758359146,0.03574029287443188,0.05004101722723544
Acala,1,0.008849557522123894,0.5318659149144349,0.006464413722478238,0.036337662880826696,0.05057096247960848
Acala,2,0.008849557522123894,0.5324099853625888,0.006473141553786715,0.03636369891628703,0.05057096247960848
Acala,3,0.00880503144654088,0.5326639904926974,0.006425146326598669,0.03503653847734386,0.050283860502838604
Acala,4,0.008684863523573201,0.5317905393954199,0.0063074226642999874,0.03496590948844271,0.050359712230215826
Acala,5,0.008588957055214725,0.5315608176517322,0.00622592787114846,0.034427853790048125,0.05063291139240506
Acala,6,0.008557457212713936,0.5315673316836024,0.006211061890349196,0.034479127686967016,0.050473186119873815
Acala,7,0.00851581508515815,0.5308424955615602,0.006186040232212772,0.03422934096072346,0.05027494108405342
Acala,8,0.00847457627118644,0.5277659824364859,0.006158307562251875,0.03794061898514821,0.05003909304143862
Across Protocol,0,0.0625,0.47141472868217055,0.13673469387755102,0.15166748915858821,0.17391304347826086
Across Protocol,1,0.05555555555555555,0.4645616839861444,0.12467532467532468,0.12747702918154621,0.15789473684210525
Across Protocol,2,0.05172413793103448,0.4614178924523752,0.11945117029862792,0.12515712284215927,0.15
Across Protocol,3,0.05172413793103448,0.4598097502972652,0.12187247780468119,0.12493353256485722,0.15
Across Protocol,4,0.043478260869565216,0.45173639595296694,0.11224489795918367,0.12294345220225138,0.10989010989010989
Across Protocol,5,0.04054054054054054,0.4447993447993448,0.10857142857142857,0.12099528771465844,0.10416666666666667
Across Protocol,6,0.0379746835443038,0.4386223138062997,0.10595238095238095,0.11957859975571639,0.1188118811881188
Across Protocol,7,0.03488372093023256,0.43112212479349343,0.10344827586206896,0.11745082004130156,0.1111111111111111
Across Protocol,8,0.03296703296703297,0.4249473930324994,0.10041407867494824,0.11599056180784996,0.10619469026548672
Akropolis,0,0.5,0.0,0.5,0.0,0.5
Akropolis,1,0.5,0.0,0.5,0.0,0.5
Akropolis,2,0.5,0.0,0.5,0.0,0.5
Akropolis,3,0.5,0.0,0.5,0.0,0.5
Akropolis,4,0.06976744186046512,0.6015796401930671,0.07077100115074798,0.18379487899207153,0.11382113821138211
Akropolis,5,0.06976744186046512,0.6015796401930671,0.07077100115074798,0.18379487899207153,0.11382113821138211
Akropolis,6,0.06976744186046512,0.6015796401930671,0.07077100115074798,0.18379487899207153,0.11382113821138211
Akropolis,7,0.06976744186046512,0.6015796401930671,0.07077100115074798,0.18379487899207153,0.11382113821138211
Akropolis,8,0.06976744186046512,0.6015796401930671,0.07077100115074798,0.18379487899207153,0.11382113821138211
Aura Finance,0,0.13333333333333333,0.37916666666666665,0.24305555555555555,0.23209699251365917,0.16
Aura Finance,1,0.13333333333333333,0.37916666666666665,0.24305555555555555,0.23209699251365917,0.16
Aura Finance,2,0.13333333333333333,0.37916666666666665,0.24305555555555555,0.23209699251365917,0.16
Aura Finance,3,0.13333333333333333,0.37916666666666665,0.24305555555555555,0.23209699251365917,0.16
Aura Finance,4,0.13333333333333333,0.37916666666666665,0.24305555555555555,0.23209699251365917,0.16
Aura Finance,5,0.13333333333333333,0.37916666666666665,0.24305555555555555,0.23209699251365917,0.16
Aura Finance,6,0.13333333333333333,0.37916666666666665,0.24305555555555555,0.23209699251365917,0.16
Aura Finance,7,0.13333333333333333,0.37916666666666665,0.24305555555555555,0.23209699251365917,0.16
Aura Finance,8,0.13333333333333333,0.37916666666666665,0.24305555555555555,0.23209699251365917,0.16
Bancor,0,0.05714285714285714,0.4776326530612245,0.08036454018227009,0.1314223149758215,0.11428571428571428
Bancor,1,0.05714285714285714,0.48170144462279296,0.07927565392354124,0.11887953189588807,0.11320754716981132
Bancor,2,0.05714285714285714,0.48170144462279296,0.07927565392354124,0.11887953189588807,0.11320754716981132
Bancor,3,0.05714285714285714,0.4841979249800479,0.07967806841046278,0.11897743594116054,0.11320754716981132
Bancor,4,0.05714285714285714,0.4841979249800479,0.07967806841046278,0.11897743594116054,0.11320754716981132
Bancor,5,0.05714285714285714,0.4841979249800479,0.07967806841046278,0.11897743594116054,0.11320754716981132
Bancor,6,0.05714285714285714,0.4841979249800479,0.07967806841046278,0.11897743594116054,0.11320754716981132
Bancor,7,0.056338028169014086,0.48225967828830907,0.08055555555555556,0.11828737610864642,0.11214953271028037
Bancor,8,0.05714285714285714,0.4841979249800479,0.0800804828973843,0.12030164484112703,0.11320754716981132
Beanstalk,0,0.11320754716981132,0.5460452330376109,0.07797270955165692,0.16790466719948433,0.10869565217391304
Beanstalk,1,0.11320754716981132,0.5460452330376109,0.07797270955165692,0.16790466719948433,0.10869565217391304
Beanstalk,2,0.11320754716981132,0.5460452330376109,0.07797270955165692,0.16790466719948433,0.10869565217391304
Beanstalk,3,0.11538461538461539,0.5476923076923077,0.07894736842105263,0.16803078019324438,0.10989010989010989
Beanstalk,4,0.11538461538461539,0.5476923076923077,0.07894736842105263,0.16803078019324438,0.10989010989010989
Beanstalk,5,0.11538461538461539,0.5476923076923077,0.07894736842105263,0.16803078019324438,0.10989010989010989
Beanstalk,6,0.11538461538461539,0.5476923076923077,0.07894736842105263,0.16803078019324438,0.10989010989010989
Beanstalk,7,0.11538461538461539,0.5520934761441091,0.08291956305858987,0.1621109677435502,0.10989010989010989
Beanstalk,8,0.11538461538461539,0.5520934761441091,0.08341608738828203,0.16152420882345797,0.10989010989010989
Cream Finance,0,0.058823529411764705,0.42483660130718953,0.14814814814814814,0.17294960594960596,0.12121212121212122
Cream Finance,1,0.058823529411764705,0.42483660130718953,0.14814814814814814,0.17294960594960596,0.12121212121212122
Cream Finance,2,0.058823529411764705,0.42483660130718953,0.14814814814814814,0.17294960594960596,0.12121212121212122
Cream Finance,3,0.0625,0.4303571428571429,0.15294117647058825,0.17360714285714285,0.125
Cream Finance,4,0.0625,0.4303571428571429,0.15294117647058825,0.17360714285714285,0.125
Cream Finance,5,0.0625,0.4303571428571429,0.15294117647058825,0.17360714285714285,0.125
Cream Finance,6,0.0625,0.4303571428571429,0.15294117647058825,0.17360714285714285,0.125
Cream Finance,7,0.0625,0.4303571428571429,0.15294117647058825,0.17360714285714285,0.125
Cream Finance,8,0.0625,0.4303571428571429,0.15294117647058825,0.17360714285714285,0.125
Crema Finance,0,0.3333333333333333,0.2222222222222222,0.5833333333333334,0.4166666666666667,0.2857142857142857
Crema Finance,1,0.3333333333333333,0.2222222222222222,0.5833333333333334,0.4166666666666667,0.2857142857142857
Crema Finance,2,0.3333333333333333,0.2222222222222222,0.5833333333333334,0.4166666666666667,0.2857142857142857
Crema Finance,3,0.3333333333333333,0.2222222222222222,0.5833333333333334,0.4166666666666667,0.2857142857142857
Crema Finance,4,0.3333333333333333,0.2222222222222222,0.5833333333333334,0.4166666666666667,0.2857142857142857
Crema Finance,5,0.3333333333333333,0.2222222222222222,0.5833333333333334,0.4166666666666667,0.2857142857142857
Crema Finance,6,0.3333333333333333,0.2222222222222222,0.5833333333333334,0.4166666666666667,0.2857142857142857
Crema Finance,7,0.3333333333333333,0.2222222222222222,0.5833333333333334,0.4166666666666667,0.2857142857142857
Crema Finance,8,0.3333333333333333,0.2222222222222222,0.5833333333333334,0.4166666666666667,0.2857142857142857
Curve,0,0.04950495049504951,0.5142421934501142,0.035784313725490194,0.08627455647260669,0.10989010989010989
Curve,1,0.05504587155963303,0.5136954656458319,0.033953997809419496,0.072969073223378,0.10362694300518134
Curve,2,0.05405405405405406,0.5144017256693313,0.03399311531841653,0.07263887461365787,0.10256410256410256
Curve,3,0.05309734513274336,0.5216455393446544,0.03269537480063796,0.07041464262136145,0.10891089108910891
Curve,4,0.05263157894736842,0.5262576972231904,0.03300395256916996,0.07060914242788716,0.10837438423645321
Curve,5,0.05263157894736842,0.528393351800554,0.03320158102766799,0.0708308332153803,0.10837438423645321
Curve,6,0.05217391304347826,0.5315885746447164,0.0334051724137931,0.07093216180345706,0.10784313725490197
Curve,7,0.05217391304347826,0.5315885746447164,0.0334051724137931,0.07093216180345706,0.10784313725490197
Curve,8,0.05263157894736842,0.5322014714204867,0.033794466403162055,0.07128939786921111,0.10837438423645321
EOS,0,0.013175675675675676,0.5917064962570859,0.0023236940643541412,0.028227560864174803,0.05002294630564479
EOS,1,0.013205678441729944,0.5889963277068622,0.0022806337573259105,0.029174630711612307,0.050056369785794814
EOS,2,0.013188262446422684,0.5891405683732622,0.002273968129357698,0.02920606650743904,0.05019131217645735
EOS,3,0.013101867016049788,0.588678035556237,0.0022647120481011297,0.029127538923880186,0.050156739811912224
EOS,4,0.01251604621309371,0.5994387112966265,0.002252747264763302,0.030539972099259575,0.05017452006980803
EOS,5,0.012396694214876033,0.6026561923903677,0.0022437737254459786,0.030723463339592343,0.05005393743257821
EOS,6,0.012380952380952381,0.605609586628975,0.0022347753691935616,0.0310357047443364,0.05001073191672033
EOS,7,0.012318382817435249,0.6050544262546235,0.002222197162203477,0.03092864610687766,0.0500106860440265
EOS,8,0.012326169405815424,0.6048577797068596,0.002218164010904964,0.0311614820383931,0.050021376656690895
Element Finance,0,0.25,0.0,1.0,0.0,0.2
Element Finance,1,0.25,0.0,1.0,0.0,0.2
Element Finance,2,0.25,0.0,1.0,0.0,0.2
Element Finance,3,0.25,0.0,1.0,0.0,0.2
Element Finance,4,0.10810810810810811,0.527889591719379,0.12818336162988114,0.14294184341407973,0.2318840579710145
Element Finance,5,0.10810810810810811,0.527889591719379,0.12818336162988114,0.14294184341407973,0.2318840579710145
Element Finance,6,0.10810810810810811,0.527889591719379,0.12818336162988114,0.14294184341407973,0.2318840579710145
Element Finance,7,0.10810810810810811,0.527889591719379,0.12818336162988114,0.14294184341407973,0.2318840579710145
Element Finance,8,0.05405405405405406,0.5398198198198199,0.13240131578947367,0.13816858854731495,0.22857142857142856
Ethena,0,0.125,0.08125,0.21818181818181817,0.0595766129032258,0.05263157894736842
Ethena,1,0.14285714285714285,0.10081053698074975,0.16279069767441862,0.058701122725512964,0.06
Ethena,2,0.14285714285714285,0.1326530612244898,0.16943521594684385,0.060288424312814545,0.06
Ethena,3,0.13953488372093023,0.13023255813953488,0.16883116883116883,0.060057518942536366,0.058823529411764705
Ethena,4,0.13043478260869565,0.12346185397867104,0.16717325227963525,0.05942760942760942,0.05555555555555555
Ethena,5,0.125,0.11931818181818182,0.1661807580174927,0.05905319883118217,0.05357142857142857
Ethena,6,0.12,0.11543859649122808,0.16526610644257703,0.05870991253644314,0.05172413793103448
Ethena,7,0.11764705882352941,0.11359026369168357,0.16483516483516483,0.058548752834467116,0.05084745762711865
Ethena,8,0.11320754716981132,0.11006289308176101,0.164021164021164,0.058245349421820004,0.06557377049180328
Euler Finance,0,0.05454545454545454,0.5427377220480669,0.09027777777777778,0.14072340317871357,0.16304347826086957
Euler Finance,1,0.04918032786885246,0.5690756561225275,0.08811959087332809,0.154290947833475,0.17475728155339806
Euler Finance,2,0.04225352112676056,0.571700243656029,0.082010582010582,0.14620463835755787,0.15789473684210525
Euler Finance,3,0.0410958904109589,0.5775519222271321,0.07608695652173914,0.14276834731776872,0.15
Euler Finance,4,0.025974025974025976,0.5688102220360285,0.07246376811594203,0.13087694963888116,0.1693548387096774
Euler Finance,5,0.03571428571428571,0.5683852488363766,0.06958698372966207,0.14265680157730132,0.1590909090909091
Euler Finance,6,0.034482758620689655,0.5659958125026706,0.06794003868471954,0.14219206619464844,0.15555555555555556
Euler Finance,7,0.02197802197802198,0.5656985871271586,0.06748188405797101,0.14496935586635679,0.15
Euler Finance,8,0.02127659574468085,0.5626817694780346,0.06491228070175438,0.1467040558294175,0.11188811188811189
Frax,0,0.016355140186915886,0.07080807671255093,0.04005870672537339,0.12075650026911705,0.05043859649122807
Frax,1,0.010344827586206896,0.08806661387469104,0.03562831006259028,0.09411689285271387,0.050997782705099776
Frax,2,0.010368663594470046,0.08741887229473785,0.03559894576636104,0.09411239574811979,0.05
Frax,3,0.010344827586206896,0.08819379454322943,0.03346901854364541,0.10570226532626031,0.05088495575221239
Frax,4,0.010344827586206896,0.08819379454322943,0.03346901854364541,0.10570226532626031,0.05088495575221239
Frax,5,0.010368663594470046,0.0908216123746414,0.03358091850611989,0.10190607728849013,0.050997782705099776
Frax,6,0.010356731875719217,0.09073168392788646,0.033577150818530126,0.10188182503685848,0.05094130675526024
Frax,7,0.010309278350515464,0.09210523195283392,0.03363150960404965,0.10186568915539618,0.050716648291069456
Frax,8,0.011494252873563218,0.09634748741331814,0.033816929339317396,0.10186591462828681,0.05088495575221239
Horizon Protocol,0,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.2631578947368421
Horizon Protocol,1,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.2631578947368421
Horizon Protocol,2,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.2631578947368421
Horizon Protocol,3,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
Horizon Protocol,4,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
Horizon Protocol,5,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
Horizon Protocol,6,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
Horizon Protocol,7,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
Horizon Protocol,8,0.25,0.28289473684210525,0.2777777777777778,0.21190476190476187,0.21052631578947367
Index Coop,0,1.0,0.0,1.0,0.0,1.0
Index Coop,1,1.0,0.0,1.0,0.0,1.0
Index Coop,2,1.0,0.0,1.0,0.0,1.0
Index Coop,3,1.0,0.0,1.0,0.0,1.0
Index Coop,4,1.0,0.0,1.0,0.0,1.0
Index Coop,5,1.0,0.0,1.0,0.0,1.0
Index Coop,6,1.0,0.0,1.0,0.0,1.0
Index Coop,7,1.0,0.0,1.0,0.0,1.0
Index Coop,8,1.0,0.0,1.0,0.0,1.0
M0 Labs,0,0.4,0.0,1.0,0.0,0.16666666666666666
M0 Labs,1,0.4,0.0,1.0,0.0,0.16666666666666666
M0 Labs,2,0.4,0.0,1.0,0.0,0.16666666666666666
M0 Labs,3,0.4,0.0,1.0,0.0,0.16666666666666666
M0 Labs,4,0.2857142857142857,0.10714285714285714,0.5714285714285714,0.14285714285714285,0.2222222222222222
M0 Labs,5,0.2857142857142857,0.10714285714285714,0.5714285714285714,0.14285714285714285,0.2222222222222222
M0 Labs,6,0.2857142857142857,0.10714285714285714,0.5714285714285714,0.14285714285714285,0.2222222222222222
M0 Labs,7,0.2857142857142857,0.10714285714285714,0.5714285714285714,0.14285714285714285,0.2222222222222222
M0 Labs,8,0.2857142857142857,0.10714285714285714,0.5714285714285714,0.14285714285714285,0.2222222222222222
Maple,0,0.11764705882352941,0.6736395092796477,0.11241217798594848,0.393224831425773,0.10416666666666667
Maple,1,0.1,0.6882575757575757,0.12258064516129032,0.38254357447488585,0.10989010989010989
Maple,2,0.1,0.6882575757575757,0.12258064516129032,0.38254357447488585,0.10989010989010989
Maple,3,0.1111111111111111,0.6742947610823259,0.10723626852659111,0.3761343654266872,0.10101010101010101
Maple,4,0.1111111111111111,0.6723356009070295,0.10854402789886661,0.373393452297303,0.10101010101010101
Maple,5,0.1111111111111111,0.6723356009070295,0.10854402789886661,0.373393452297303,0.10101010101010101
Maple,6,0.10810810810810811,0.6696696696696697,0.10653650254668931,0.37289895184099475,0.1
